Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,ResponsesQuantised
6004232,WillingnesstoTryagainLikert,Somewhat likely,1005.mp4,NALA,3008,NAHA4,NAHA4_WillingnesstoTryagainLikert,5
6004232,WillingnesstoTryagainLikert,Neutral,1006.mp4,NALA,3009,NAHA5,NAHA5_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Very Likely,3004.mp4,NAHA,1000,NALA3,NALA3_WillingnesstoTryagainLikert,7
6005633,WillingnesstoTryagainLikert,Neutral,1004.mp4,NAHA,1001,NAHA3,NAHA3_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Neutral,1008.mp4,NAHA,1004,NAHA6,NAHA6_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Not at all likely,1006.mp4,NAHA,1005,NAHA5,NAHA5_WillingnesstoTryagainLikert,0
6005633,WillingnesstoTryagainLikert,Neutral,3000.mp4,NAHA,1006,NALA1,NALA1_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Somewhat likely,3007.mp4,NAHA,1008,NALA4,NALA4_WillingnesstoTryagainLikert,5
6005633,WillingnesstoTryagainLikert,Not at all likely,1000.mp4,NALA,3000,NAHA1,NAHA1_WillingnesstoTryagainLikert,0
6005633,WillingnesstoTryagainLikert,Not at all likely,1001.mp4,NALA,3002,NAHA2,NAHA2_WillingnesstoTryagainLikert,0
6005633,WillingnesstoTryagainLikert,Unlikely,1005.mp4,NALA,3004,NAHA4,NAHA4_WillingnesstoTryagainLikert,2
6005633,WillingnesstoTryagainLikert,Neutral,3008.mp4,NALA,3007,NALA5,NALA5_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Neutral,3009.mp4,NALA,3008,NALA6,NALA6_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Neutral,3002.mp4,NALA,3009,NALA2,NALA2_WillingnesstoTryagainLikert,4
6005725,WillingnesstoTryagainLikert,Somewhat likely,3009.mp4,NAHA,1000,NALA6,NALA6_WillingnesstoTryagainLikert,5
6005725,WillingnesstoTryagainLikert,Somewhat likely,3008.mp4,NAHA,1001,NALA5,NALA5_WillingnesstoTryagainLikert,5
6005725,WillingnesstoTryagainLikert,Somewhat unlikely,1005.mp4,NAHA,1004,NAHA4,NAHA4_WillingnesstoTryagainLikert,3
6005725,WillingnesstoTryagainLikert,Neutral,3004.mp4,NAHA,1005,NALA3,NALA3_WillingnesstoTryagainLikert,4
6005725,WillingnesstoTryagainLikert,Very Unlikely,1001.mp4,NAHA,1006,NAHA2,NAHA2_WillingnesstoTryagainLikert,1
6005725,WillingnesstoTryagainLikert,Very Unlikely,1000.mp4,NAHA,1008,NAHA1,NAHA1_WillingnesstoTryagainLikert,1
6005725,WillingnesstoTryagainLikert,Neutral,1004.mp4,NALA,3000,NAHA3,NAHA3_WillingnesstoTryagainLikert,4
6005725,WillingnesstoTryagainLikert,Likely,3000.mp4,NALA,3002,NALA1,NALA1_WillingnesstoTryagainLikert,6
6005725,WillingnesstoTryagainLikert,Very Unlikely,1006.mp4,NALA,3004,NAHA5,NAHA5_WillingnesstoTryagainLikert,1
6005725,WillingnesstoTryagainLikert,Very Likely,3007.mp4,NALA,3007,NALA4,NALA4_WillingnesstoTryagainLikert,7
