Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,Responses Quantised
6003943,Successlikert,Disagree,3008.mp4,NALA,3008,NALA5,NALA5_Successlikert,2
6003943,Effortlikert,Neutral,1004.mp4,NALA,3009,NAHA3,NAHA3_Effortlikert,4
6003943,Successlikert,Disagree,1004.mp4,NALA,3009,NAHA3,NAHA3_Successlikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,1000.mp4,NAHA,1000,NAHA1,NAHA1_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,3002.mp4,NAHA,1001,NALA2,NALA2_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Very Unlikely,1001.mp4,NAHA,1004,NAHA2,NAHA2_WillingnesstoTryagainLikert,1
6003943,WillingnesstoTryagainLikert,Unlikely,3009.mp4,NAHA,1005,NALA6,NALA6_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,3004.mp4,NAHA,1006,NALA3,NALA3_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,3007.mp4,NAHA,1008,NALA4,NALA4_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,1005.mp4,NALA,3000,NAHA4,NAHA4_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Very Unlikely,1006.mp4,NALA,3002,NAHA5,NAHA5_WillingnesstoTryagainLikert,1
6003943,WillingnesstoTryagainLikert,Unlikely,1008.mp4,NALA,3004,NAHA6,NAHA6_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,3000.mp4,NALA,3007,NALA1,NALA1_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,3008.mp4,NALA,3008,NALA5,NALA5_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,1004.mp4,NALA,3009,NAHA3,NAHA3_WillingnesstoTryagainLikert,2
6004026,Effortlikert,Agree,3008.mp4,NAHA,1000,NALA5,NALA5_Effortlikert,6
6004026,Successlikert,Strongly disagree,3008.mp4,NAHA,1000,NALA5,NALA5_Successlikert,1
6004026,Effortlikert,Strongly Agree,1001.mp4,NAHA,1001,NAHA2,NAHA2_Effortlikert,7
6004026,Successlikert,Agree,1001.mp4,NAHA,1001,NAHA2,NAHA2_Successlikert,6
6004026,Effortlikert,Agree,1008.mp4,NAHA,1004,NAHA6,NAHA6_Effortlikert,6
6004026,Successlikert,Disagree,1008.mp4,NAHA,1004,NAHA6,NAHA6_Successlikert,2
6004026,Effortlikert,Strongly Agree,3007.mp4,NAHA,1005,NALA4,NALA4_Effortlikert,7
6004026,Successlikert,Not at all,3007.mp4,NAHA,1005,NALA4,NALA4_Successlikert,0
6004026,Effortlikert,Agree,1005.mp4,NAHA,1006,NAHA4,NAHA4_Effortlikert,6
6004026,Successlikert,Not at all,1005.mp4,NAHA,1006,NAHA4,NAHA4_Successlikert,0
6004026,Effortlikert,Somewhat Agree,3000.mp4,NAHA,1008,NALA1,NALA1_Effortlikert,5
6004026,Successlikert,Not at all,3000.mp4,NAHA,1008,NALA1,NALA1_Successlikert,0
6004026,Effortlikert,Somewhat Agree,3004.mp4,NALA,3000,NALA3,NALA3_Effortlikert,5
6004026,Successlikert,Not at all,3004.mp4,NALA,3000,NALA3,NALA3_Successlikert,0
6004026,Effortlikert,Agree,1004.mp4,NALA,3002,NAHA3,NAHA3_Effortlikert,6
6004026,Successlikert,Neutral,1004.mp4,NALA,3002,NAHA3,NAHA3_Successlikert,4
6004026,Effortlikert,Somewhat Agree,3009.mp4,NALA,3004,NALA6,NALA6_Effortlikert,5
6004026,Successlikert,Not at all,3009.mp4,NALA,3004,NALA6,NALA6_Successlikert,0
6004026,Effortlikert,Strongly Agree,3002.mp4,NALA,3007,NALA2,NALA2_Effortlikert,7
6004026,Successlikert,Neutral,3002.mp4,NALA,3007,NALA2,NALA2_Successlikert,4
6004026,Effortlikert,Strongly Agree,1000.mp4,NALA,3008,NAHA1,NAHA1_Effortlikert,7
6004026,Successlikert,Neutral,1000.mp4,NALA,3008,NAHA1,NAHA1_Successlikert,4
6004026,Effortlikert,Strongly Agree,1006.mp4,NALA,3009,NAHA5,NAHA5_Effortlikert,7
6004026,Successlikert,Somewhat Agree,1006.mp4,NALA,3009,NAHA5,NAHA5_Successlikert,5
6004026,WillingnesstoTryagainLikert,Very Likely,3008.mp4,NAHA,1000,NALA5,NALA5_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Somewhat likely,1001.mp4,NAHA,1001,NAHA2,NAHA2_WillingnesstoTryagainLikert,5
6004026,WillingnesstoTryagainLikert,Very Likely,1008.mp4,NAHA,1004,NAHA6,NAHA6_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Very Likely,3007.mp4,NAHA,1005,NALA4,NALA4_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Very Likely,1005.mp4,NAHA,1006,NAHA4,NAHA4_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Very Likely,3000.mp4,NAHA,1008,NALA1,NALA1_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Very Likely,3004.mp4,NALA,3000,NALA3,NALA3_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Likely,1004.mp4,NALA,3002,NAHA3,NAHA3_WillingnesstoTryagainLikert,6
6004026,WillingnesstoTryagainLikert,Very Likely,3009.mp4,NALA,3004,NALA6,NALA6_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Somewhat likely,3002.mp4,NALA,3007,NALA2,NALA2_WillingnesstoTryagainLikert,5
6004026,WillingnesstoTryagainLikert,Likely,1000.mp4,NALA,3008,NAHA1,NAHA1_WillingnesstoTryagainLikert,6
6004026,WillingnesstoTryagainLikert,Somewhat likely,1006.mp4,NALA,3009,NAHA5,NAHA5_WillingnesstoTryagainLikert,5
6004232,Effortlikert,Disagree,1004.mp4,NAHA,1000,NAHA3,NAHA3_Effortlikert,2
6004232,Successlikert,Somewhat Agree,1004.mp4,NAHA,1000,NAHA3,NAHA3_Successlikert,5
6004232,Effortlikert,Agree,3000.mp4,NAHA,1001,NALA1,NALA1_Effortlikert,6
6004232,Successlikert,Somewhat Agree,3000.mp4,NAHA,1001,NALA1,NALA1_Successlikert,5
6004232,Effortlikert,Somewhat Agree,1001.mp4,NAHA,1004,NAHA2,NAHA2_Effortlikert,5
6004232,Successlikert,Somewhat Agree,1001.mp4,NAHA,1004,NAHA2,NAHA2_Successlikert,5
6004232,Effortlikert,Neutral,3002.mp4,NAHA,1005,NALA2,NALA2_Effortlikert,4
6004232,Successlikert,Neutral,3002.mp4,NAHA,1005,NALA2,NALA2_Successlikert,4
6004232,Effortlikert,Neutral,3004.mp4,NAHA,1006,NALA3,NALA3_Effortlikert,4
6004232,Successlikert,Neutral,3004.mp4,NAHA,1006,NALA3,NALA3_Successlikert,4
6004232,Effortlikert,Neutral,1008.mp4,NAHA,1008,NAHA6,NAHA6_Effortlikert,4
6004232,Successlikert,Neutral,1008.mp4,NAHA,1008,NAHA6,NAHA6_Successlikert,4
